1;"Bienvenue à Zombieland";2009;4;01:20:00
2;"La Horde";2009;2.5;01:42:00
3;"Land Of The Dead";2005;2.9;01:33:00
4;"Resident Evil 1";2002;2.7;01:41:00
5;"Resident Evil 2 Apocalypse";2004;2.4;01:40:00
6;"Resident Evil 3 Extinction";2007;2.5;01:30:00
7;"Resident Evil 4 Afterlife";2010;2.4;01:36:00
8;"Resident Evil 5 Retribution";2012;2.2;01:35:00
9;"Le Dernier Pub Avant La Fin Du Monde";2013;3.5;01:49:00
10;"Hot Fuzz";2007;3.9;02:00:00
11;"Shaun of the dead";2005;4.0;01:39:00
